,index,coordinates.latitude,coordinates.longitude,location.display_address,name,price,rating,review_count
0,2,29.73823,-95.41208,"['2129 W Alabama St', 'Houston, TX 77098']",Fabio's Artisan Pasta,$$,5.0,244
1,33,29.74651,-95.39033,"['805 Pacific St', 'Houston, TX 77006']",Postino Montrose,,5.0,8
2,25,29.79333,-95.35928,"['811 Collingsworth St', 'Houston, TX 77009']",Rocco's,$$,4.5,55
3,36,29.7287262957213,-95.4316117488783,"['3277 Southwest Fwy', 'Ste A', 'Houston, TX 77027']",Fresco Cafe Italiano,$$,4.5,170
4,5,29.7323697055943,-95.4381511442779,"['3773 Richmond Ave', 'Ste 1A', 'Houston, TX 77046']",Mia Bella Trattoria,$$,4.5,352
5,22,29.73764,-95.33956,"['4105 Leeland St', 'Houston, TX 77023']",Mandola's Deli,$,4.5,269
6,45,29.736722,-95.59463,"['12126 Westheimer Rd', 'Ste 98', 'Houston, TX 77077']",Creed Italian Restaurant & Bar,$$,4.5,67
7,30,29.8898572957493,-95.5826705374774,"['17402 Northwest Fwy', 'Jersey Village, TX 77040']",Adriatic Cafe  Italian Grill,$$,4.5,520
8,41,29.62409,-95.71922,"['815 Plantation Dr', 'Ste 180', 'Richmond, TX 77406']",Lomonte's Italian Restaurant & Pizzeria,$$,4.5,264
9,11,29.7572378866031,-95.3574474900742,"['1515 Texas Ave', 'Houston, TX 77002']",Potente,$$$,4.5,197
10,37,29.7617656683504,-95.3621810104161,"['409 Travis St', 'Houston, TX 77002']",BOH Pasta & Pizza,,4.5,26
11,28,29.74313,-95.397814,"['1520 Westheimer Rd', 'Houston, TX 77006']",Da Marco,$$$$,4.0,324
12,29,29.5777702331543,-95.1404571533203,"['1001 Pineloch Dr', 'Ste 1100', 'Houston, TX 77062']",Grazia Italian Kitchen,$$,4.0,229
13,31,29.7534684960069,-95.3641167312134,"['1201 Caroline St', 'Ste 161', 'Houston, TX 77002']",Mia Bella Trattoria,$$,4.0,278
14,34,29.78306,-95.3985299,"['642 Yale St', 'Ste A', 'Houston, TX 77007']",Postino Heights,$$,4.0,386
15,35,29.7389786,-95.4134581,"['2202 W Alabama St', 'Houston, TX 77098']",Bollo Woodfired Pizza,$$,4.0,568
16,39,29.7381940494014,-95.4363139242039,"['3641 W Alabama St', 'Houston, TX 77027']",Mina Ristorante,,4.0,9
17,38,29.5463748,-95.1058725,"['1041 Nasa Pkwy', 'Houston, TX 77058']",Frenchie's,$$,4.0,271
18,26,29.7364881579311,-95.4183509045328,"['3115 Kirby Dr', 'Houston, TX 77098']",Carrabba's - The Original on Kirby,$$,4.0,441
